0,website,category
1,chess.com,/Games/Board_Games/Abstract
2,chessbase.com,/Games/Board_Games/Abstract
3,chessgames.com,/Games/Board_Games/Abstract
4,chessbomb.com,/Games/Board_Games/Abstract
5,chesstempo.com,/Games/Board_Games/Abstract
6,tsf.org.tr,/Games/Board_Games/Abstract
7,thechessworld.com,/Games/Board_Games/Abstract
8,uschess.org,/Games/Board_Games/Abstract
9,senseis.xmp.net,/Games/Board_Games/Abstract
10,365chess.com,/Games/Board_Games/Abstract
11,bkgm.com,/Games/Board_Games/Abstract
12,theweekinchess.com,/Games/Board_Games/Abstract
13,iccf.com,/Games/Board_Games/Abstract
14,gammonvillage.com,/Games/Board_Games/Abstract
15,newinchess.com,/Games/Board_Games/Abstract
16,chesscorner.com,/Games/Board_Games/Abstract
17,chessdom.com,/Games/Board_Games/Abstract
18,avlerchess.com,/Games/Board_Games/Abstract
19,ficgs.com,/Games/Board_Games/Abstract
20,01xq.com,/Games/Board_Games/Abstract
21,kidchess.com,/Games/Board_Games/Abstract
22,gokgs.com,/Games/Board_Games/Abstract
23,chessvideos.tv,/Games/Board_Games/Abstract
24,pittsburghcc.org,/Games/Board_Games/Abstract
25,rybkaforum.net,/Games/Board_Games/Abstract
26,fmjd.org,/Games/Board_Games/Abstract
27,chessproblems.com,/Games/Board_Games/Abstract
28,jeremysilman.com,/Games/Board_Games/Abstract
29,chesstactics.org,/Games/Board_Games/Abstract
30,eurogofed.org,/Games/Board_Games/Abstract
31,expert-chess-strategies.com,/Games/Board_Games/Abstract
32,goinorge.no,/Games/Board_Games/Abstract
33,chessvariants.com,/Games/Board_Games/Abstract
34,chessa.co.za,/Games/Board_Games/Abstract
35,goproblems.com,/Games/Board_Games/Abstract
36,dragongoserver.net,/Games/Board_Games/Abstract
37,go4go.net,/Games/Board_Games/Abstract
38,chesslab.com,/Games/Board_Games/Abstract
39,czechopen.net,/Games/Board_Games/Abstract
40,chesspublishing.com,/Games/Board_Games/Abstract
41,chessmetrics.com,/Games/Board_Games/Abstract
42,chesshistory.com,/Games/Board_Games/Abstract
43,chessscotland.com,/Games/Board_Games/Abstract
44,thechessmind.net,/Games/Board_Games/Abstract
45,backgammon-biba.co.uk,/Games/Board_Games/Abstract
46,scid.sourceforge.net,/Games/Board_Games/Abstract
47,arimaa.com,/Games/Board_Games/Abstract
48,chesstour.com,/Games/Board_Games/Abstract
49,genedavissoftware.com,/Games/Board_Games/Abstract
50,caissa.com,/Games/Board_Games/Abstract
0,dumbluckgame.com,/Games/Board_Games/Bluffing_and_Betting
1,spyalley.com,/Games/Board_Games/Bluffing_and_Betting
0,lebensraum2000.tripod.com,/Games/Board_Games/Computer_Aides
1,cyberboard.brainiac.com,/Games/Board_Games/Computer_Aides
0,hasbro.com,/Games/Board_Games/Developers_and_Publishers
1,winning-moves.com,/Games/Board_Games/Developers_and_Publishers
2,gigamic.com,/Games/Board_Games/Developers_and_Publishers
3,daysofwonder.com,/Games/Board_Games/Developers_and_Publishers
4,decisiongames.com,/Games/Board_Games/Developers_and_Publishers
5,gamewright.com,/Games/Board_Games/Developers_and_Publishers
6,losthorizons.com,/Games/Board_Games/Developers_and_Publishers
7,riograndegames.com,/Games/Board_Games/Developers_and_Publishers
8,endlessgames.com,/Games/Board_Games/Developers_and_Publishers
9,multimanpublishing.com,/Games/Board_Games/Developers_and_Publishers
10,playtmg.com,/Games/Board_Games/Developers_and_Publishers
11,drumondpark.com,/Games/Board_Games/Developers_and_Publishers
12,gamepuzzles.com,/Games/Board_Games/Developers_and_Publishers
13,outsetmedia.com,/Games/Board_Games/Developers_and_Publishers
14,playroomentertainment.com,/Games/Board_Games/Developers_and_Publishers
15,looneylabs.com,/Games/Board_Games/Developers_and_Publishers
16,hans-im-glueck.de,/Games/Board_Games/Developers_and_Publishers
17,adrenalinebrush.co.uk,/Games/Board_Games/Developers_and_Publishers
18,columbiagames.com,/Games/Board_Games/Developers_and_Publishers
19,jollyrogergames.com,/Games/Board_Games/Developers_and_Publishers
20,carrom.com,/Games/Board_Games/Developers_and_Publishers
21,faidutti.com,/Games/Board_Games/Developers_and_Publishers
22,abouttimeboardgame.com,/Games/Board_Games/Developers_and_Publishers
23,dragonsanddanes.tripod.com,/Games/Board_Games/Developers_and_Publishers
24,sylviebarc.net,/Games/Board_Games/Developers_and_Publishers
25,boardgamedesign.com,/Games/Board_Games/Developers_and_Publishers
26,brainsavvy.com,/Games/Board_Games/Developers_and_Publishers
27,clashofarms.com,/Games/Board_Games/Developers_and_Publishers
28,curiousgames.net,/Games/Board_Games/Developers_and_Publishers
29,darfinc.com,/Games/Board_Games/Developers_and_Publishers
30,davincigames.com,/Games/Board_Games/Developers_and_Publishers
31,discovergames.com,/Games/Board_Games/Developers_and_Publishers
32,doris-frank.de,/Games/Board_Games/Developers_and_Publishers
33,tiktak3.com,/Games/Board_Games/Developers_and_Publishers
34,enginuity.com,/Games/Board_Games/Developers_and_Publishers
35,fatmessiahgames.com,/Games/Board_Games/Developers_and_Publishers
36,fbgames.co.uk,/Games/Board_Games/Developers_and_Publishers
37,forrest-pruzan.com,/Games/Board_Games/Developers_and_Publishers
38,fragorgames.com,/Games/Board_Games/Developers_and_Publishers
39,game-board.com,/Games/Board_Games/Developers_and_Publishers
40,get-together-games.com,/Games/Board_Games/Developers_and_Publishers
41,gibsonsgames.co.uk,/Games/Board_Games/Developers_and_Publishers
42,55cards.com,/Games/Board_Games/Developers_and_Publishers
43,grandprixintl.com,/Games/Board_Games/Developers_and_Publishers
